complexity,path
1,x-pack/plugins/infra/public/components/logging/log_analysis_setup/setup_flyout/log_entry_categories_setup_view.tsx
1,x-pack/plugins/infra/public/components/logging/log_analysis_setup/setup_flyout/log_entry_rate_setup_view.tsx
5,x-pack/plugins/infra/public/components/logging/log_analysis_setup/setup_flyout/module_list_card.tsx
10,x-pack/plugins/infra/public/components/logging/log_analysis_setup/setup_flyout/setup_flyout.tsx
2,x-pack/plugins/infra/public/components/logging/log_analysis_setup/user_management_link.tsx
3,x-pack/plugins/infra/public/components/logging/log_datepicker.tsx
6,x-pack/plugins/infra/public/components/logging/log_entry_examples/log_entry_examples.tsx
8,x-pack/plugins/infra/public/components/logging/log_entry_flyout/log_entry_actions_menu.tsx
7,x-pack/plugins/infra/public/components/logging/log_entry_flyout/log_entry_fields_table.tsx
14,x-pack/plugins/infra/public/components/logging/log_entry_flyout/log_entry_flyout.tsx
5,x-pack/plugins/infra/public/components/logging/log_highlights_menu.tsx
6,x-pack/plugins/infra/public/components/logging/log_minimap/density_chart.tsx
2,x-pack/plugins/infra/public/components/logging/log_minimap/highlighted_interval.tsx
6,x-pack/plugins/infra/public/components/logging/log_minimap/log_minimap.tsx
2,x-pack/plugins/infra/public/components/logging/log_minimap/search_marker.tsx
4,x-pack/plugins/infra/public/components/logging/log_minimap/search_marker_tooltip.tsx
2,x-pack/plugins/infra/public/components/logging/log_minimap/search_markers.tsx
2,x-pack/plugins/infra/public/components/logging/log_minimap/time_label_formatter.tsx
1,x-pack/plugins/infra/public/components/logging/log_minimap/time_ruler.tsx
2,x-pack/plugins/infra/public/components/logging/log_search_controls/log_search_buttons.tsx
2,x-pack/plugins/infra/public/components/logging/log_search_controls/log_search_input.tsx
9,x-pack/plugins/infra/public/components/logging/log_source_error_page.tsx
1,x-pack/plugins/infra/public/components/logging/log_text_scale_controls.tsx
20,x-pack/plugins/infra/public/components/logging/log_text_stream/column_headers.tsx
11,x-pack/plugins/infra/public/components/logging/log_text_stream/field_value.tsx
3,x-pack/plugins/infra/public/components/logging/log_text_stream/highlighting.tsx
26,x-pack/plugins/infra/public/components/logging/log_text_stream/loading_item_view.tsx
17,x-pack/plugins/infra/public/components/logging/log_text_stream/log_entry_column.tsx
2,x-pack/plugins/infra/public/components/logging/log_text_stream/log_entry_context_menu.tsx
7,x-pack/plugins/infra/public/components/logging/log_text_stream/log_entry_field_column.tsx
19,x-pack/plugins/infra/public/components/logging/log_text_stream/log_entry_message_column.tsx
35,x-pack/plugins/infra/public/components/logging/log_text_stream/log_entry_row.tsx
1,x-pack/plugins/infra/public/components/logging/log_text_stream/log_entry_timestamp_column.tsx
2,x-pack/plugins/infra/public/components/logging/log_text_stream/measurable_item_view.tsx
74,x-pack/plugins/infra/public/components/logging/log_text_stream/scrollable_log_text_stream_view.tsx
2,x-pack/plugins/infra/public/components/logging/log_text_stream/text_styles.tsx
29,x-pack/plugins/infra/public/components/logging/log_text_stream/vertical_scroll_panel.tsx
3,x-pack/plugins/infra/public/components/resettable_error_boundary.tsx
5,x-pack/plugins/infra/public/components/saved_views/manage_views_flyout.tsx
19,x-pack/plugins/infra/public/components/saved_views/toolbar_control.tsx
5,x-pack/plugins/infra/public/components/saved_views/view_list_modal.tsx
4,x-pack/plugins/infra/public/components/subscription_splash_content.tsx
1,x-pack/plugins/infra/public/containers/logs/log_analysis/log_analysis_capabilities.tsx
7,x-pack/plugins/infra/public/containers/logs/log_analysis/log_analysis_cleanup.tsx
6,x-pack/plugins/infra/public/containers/logs/log_analysis/log_analysis_module.tsx
4,x-pack/plugins/infra/public/containers/logs/log_analysis/log_analysis_module_definition.tsx
33,x-pack/plugins/infra/public/containers/logs/log_analysis/log_analysis_module_status.tsx
5,x-pack/plugins/infra/public/containers/logs/log_filter/with_log_filter_url_state.tsx
28,x-pack/plugins/infra/public/containers/logs/log_flyout.tsx
7,x-pack/plugins/infra/public/containers/logs/log_highlights/log_entry_highlights.tsx
16,x-pack/plugins/infra/public/containers/logs/log_highlights/next_and_previous.tsx
39,x-pack/plugins/infra/public/containers/logs/log_position/with_log_position_url_state.tsx
4,x-pack/plugins/infra/public/containers/logs/log_summary/log_summary.tsx
11,x-pack/plugins/infra/public/containers/logs/with_log_textview.tsx
19,x-pack/plugins/infra/public/containers/metrics_explorer/with_metrics_explorer_options_url_state.tsx
13,x-pack/plugins/infra/public/containers/metrics_source/source.tsx
1,x-pack/plugins/infra/public/containers/ml/infra_ml_capabilities.tsx
7,x-pack/plugins/infra/public/containers/ml/infra_ml_cleanup.tsx
4,x-pack/plugins/infra/public/containers/ml/infra_ml_module_definition.tsx
32,x-pack/plugins/infra/public/containers/ml/infra_ml_module_status.tsx
32,x-pack/plugins/infra/public/containers/saved_view/saved_view.tsx
9,x-pack/plugins/infra/public/containers/with_kuery_autocompletion.tsx
1,x-pack/plugins/infra/public/containers/with_source/with_source.tsx
4,x-pack/plugins/infra/public/hooks/use_bulk_get_saved_object.tsx
4,x-pack/plugins/infra/public/hooks/use_create_saved_object.tsx
2,x-pack/plugins/infra/public/hooks/use_delete_saved_object.tsx
8,x-pack/plugins/infra/public/hooks/use_find_saved_object.tsx
4,x-pack/plugins/infra/public/hooks/use_get_saved_object.tsx
10,x-pack/plugins/infra/public/hooks/use_http_request.tsx
2,x-pack/plugins/infra/public/hooks/use_kibana_index_patterns.mock.tsx
5,x-pack/plugins/infra/public/hooks/use_kibana_timefilter_time.tsx
35,x-pack/plugins/infra/public/hooks/use_link_props.tsx
1,x-pack/plugins/infra/public/hooks/use_prefix_path_with_basepath.tsx
1,x-pack/plugins/infra/public/hooks/use_readonly_badge.tsx
4,x-pack/plugins/infra/public/hooks/use_update_saved_object.tsx
4,x-pack/plugins/infra/public/pages/link_to/redirect_to_host_detail_via_ip.tsx
11,x-pack/plugins/infra/public/pages/link_to/redirect_to_inventory.tsx
1,x-pack/plugins/infra/public/pages/link_to/redirect_to_logs.tsx
2,x-pack/plugins/infra/public/pages/link_to/redirect_to_node_detail.tsx
3,x-pack/plugins/infra/public/pages/link_to/redirect_to_node_logs.tsx
9,x-pack/plugins/infra/public/pages/logs/log_entry_categories/page_content.tsx
6,x-pack/plugins/infra/public/pages/logs/log_entry_categories/page_providers.tsx
5,x-pack/plugins/infra/public/pages/logs/log_entry_categories/page_results_content.tsx
2,x-pack/plugins/infra/public/pages/logs/log_entry_categories/sections/top_categories/analyze_dataset_in_ml_action.tsx
2,x-pack/plugins/infra/public/pages/logs/log_entry_categories/sections/top_categories/category_example_message.tsx
2,x-pack/plugins/infra/public/pages/logs/log_entry_categories/sections/top_categories/log_entry_count_sparkline.tsx
5,x-pack/plugins/infra/public/pages/logs/log_entry_categories/sections/top_categories/single_metric_comparison.tsx
1,x-pack/plugins/infra/public/pages/logs/log_entry_categories/sections/top_categories/single_metric_sparkline.tsx
23,x-pack/plugins/infra/public/pages/logs/log_entry_rate/page_content.tsx
6,x-pack/plugins/infra/public/pages/logs/log_entry_rate/page_providers.tsx
9,x-pack/plugins/infra/public/pages/logs/log_entry_rate/page_results_content.tsx
4,x-pack/plugins/infra/public/pages/logs/log_entry_rate/sections/anomalies/anomalies_swimlane_visualisation.tsx
2,x-pack/plugins/infra/public/pages/logs/log_entry_rate/sections/anomalies/expanded_row.tsx
